objectid,id,cod_setor,st_areashape,st_lengthshape
491,330455705090163,090163,24682.304354255,724.29084937255
492,330455705090164,090164,28501.34448783,1069.75453424137
493,330455705090165,090165,22332.9044815,745.13000185687
494,330455705090166,090166,7806.023832,473.359882424611
495,330455705090167,090167,82838.38983715,1482.42153786438
496,330455705090168,090168,37672.91168478,1239.421579059
497,330455705090169,090169,10039.492890495,586.997088913436
498,330455705090170,090170,5008.884722895,328.239609325002
499,330455705090171,090171,26346.026631115,756.20990689519
500,330455705090172,090172,15832.93764235,536.475149981903
501,330455705090173,090173,12825.46880913,456.728925327952
502,330455705090174,090174,9553.08699842,553.192273821056
503,330455705090175,090175,25640.2944077,728.73674687908
504,330455705090176,090176,12085.623296975,656.500850103448
505,330455705090177,090177,5362.908010715,380.2711981832
506,330455705090178,090178,25903.28117492,684.843881534109
507,330455705090179,090179,8497.360567335,374.062076009911
508,330455705090180,090180,23226.17578768,619.622833350619
509,330455705090181,090181,33239.795309105,811.122538987162
510,330455705090182,090182,23257.80009498,601.746953670315
511,330455705090183,090183,14076.992403415,633.596065116698
512,330455705090184,090184,9911.48517706,421.274141493497
513,330455705090185,090185,7192.930299425,382.218864924202
514,330455705090186,090186,15032.4547629,495.808789141994
515,330455705090187,090187,13031.578756605,460.633546778912
516,330455705090188,090188,8470.98327737,394.462742225291
517,330455705090189,090189,8226.71643314,386.347901925164
518,330455705090190,090190,7352.260357225,360.951592194647
519,330455705090191,090191,3583.719038195,261.974436912505
520,330455705090192,090192,8903.5415185,497.157633081543
521,330455705090193,090193,6796.18862031,401.846470920308
522,330455705090194,090194,4485.964916605,270.126080647599
523,330455705090195,090195,3944.404551525,391.988581483147
524,330455705090196,090196,3289.19837988,246.05666351572
525,330455705090197,090197,3956.071578745,276.775949171235
526,330455705090198,090198,3555.443742255,254.340354604762
527,330455705090199,090199,3828.666159795,252.658914510146
528,330455705090200,090200,7862.56181237,422.991907112334
529,330455705090201,090201,4490.68594634,273.898348114201
530,330455705090202,090202,2874.65918153,231.963472823048
531,330455705090203,090203,6217.28890419,360.07559020352
532,330455705090204,090204,5842.750579825,420.801266291199
533,330455705090205,090205,1961.69230061,221.362568799389
534,330455705090206,090206,7325.17683024,492.253713370981
535,330455705090207,090207,5949.721347255,406.826793256701
536,330455705090208,090208,2869.861187785,233.302240802014
537,330455705090209,090209,8499.40682573,437.067631582451
538,330455705090210,090210,14686.854891925,662.792660261335
539,330455705090211,090211,3500.75938211,249.492045419242
540,330455705090212,090212,3787.43834358,264.558037542908
541,330455705090213,090213,4961.78751314,282.578912834941
542,330455705090214,090214,5301.670348095,305.334460551157
543,330455705090215,090215,15884.82719117,617.110291785516
544,330455705090216,090216,6743.427535885,357.945386202808
545,330455705090217,090217,3108.913499475,339.388006878385
546,330455705090218,090218,17124.327667845,683.955235601503
547,330455705090219,090219,3118.983304755,279.28298780366
548,330455705090220,090220,3375.468692555,267.968748725507
549,330455705090221,090221,7385.171469465,431.971127585609
